,0,1,2
0,0,Fluid low,low
1,0,Fluid low,low
2,0,Fluid low,low
3,4095,Better fluid,PERFECT
4,0,Fluid low,low
5,0,Fluid low,low
6,687,Fluid low,low
7,1482,Fluid low,low
8,1666,Fluid low,low
9,0,Fluid low,low
10,714,Fluid low,low
11,1392,Fluid low,low
12,707,Fluid low,low
13,0,Fluid low,low
14,1127,Fluid low,low
15,482,Fluid low,low
16,4095,Better fluid,PERFECT
17,0,Fluid low,low
18,3344,Better fluid,PERFECT
19,1833,Fluid low,low
20,4095,Better fluid,PERFECT
21,0,Fluid low,low
22,1060,Fluid low,low
23,1461,Fluid low,low
24,1023,Fluid low,low
25,1446,Fluid low,low
26,958,Fluid low,low
27,257,Fluid low,low
28,0,Fluid low,low
29,2191,Better fluid,PERFECT
30,2649,Better fluid,PERFECT
31,0,Fluid low,low
32,1885,Fluid low,low
33,4095,Better fluid,PERFECT
34,3825,Better fluid,PERFECT
35,1245,Fluid low,low
36,1601,Fluid low,low
37,0,Fluid low,low
38,2532,Better fluid,PERFECT
39,0,Fluid low,low
40,4095,Better fluid,PERFECT
41,0,Fluid low,low
42,4095,Better fluid,PERFECT
43,4095,Better fluid,PERFECT
44,4095,Better fluid,PERFECT
45,0,Fluid low,low
46,4095,Better fluid,PERFECT
47,0,Fluid low,low
48,0,Fluid low,low
49,0,Fluid low,low
50,326,Fluid low,low
51,4095,Better fluid,PERFECT
52,1473,Fluid low,low
53,2516,Better fluid,PERFECT
54,1410,Fluid low,low
55,0,Fluid low,low
56,1155,Fluid low,low
57,14,Fluid low,low
58,4095,Better fluid,PERFECT
59,0,Fluid low,low
60,1,Fluid low,low
61,2911,Better fluid,PERFECT
62,727,Fluid low,low
63,1061,Fluid low,low
64,1328,Fluid low,low
65,915,Fluid low,low
66,1405,Fluid low,low
67,1281,Fluid low,low
68,1346,Fluid low,low
69,1279,Fluid low,low
70,4095,Better fluid,PERFECT
71,4095,Better fluid,PERFECT
72,3719,Better fluid,PERFECT
73,4095,Better fluid,PERFECT
74,0,Fluid low,low
75,1725,Fluid low,low
76,1459,Fluid low,low
77,1440,Fluid low,low
78,4095,Better fluid,PERFECT
79,1857,Fluid low,low
80,1360,Fluid low,low
81,3550,Better fluid,PERFECT
82,0,Fluid low,low
83,0,Fluid low,low
84,4054,Better fluid,PERFECT
85,1408,Fluid low,low
86,0,Fluid low,low
87,0,Fluid low,low
88,4095,Better fluid,PERFECT
89,2495,Better fluid,PERFECT
90,2095,Fluid low,low
91,0,Fluid low,low
92,801,Fluid low,low
93,2701,Better fluid,PERFECT
94,1168,Fluid low,low
95,4095,Better fluid,PERFECT
96,893,Fluid low,low
97,0,Fluid low,low
98,3451,Better fluid,PERFECT
99,2421,Better fluid,PERFECT
100,0,Fluid low,low
101,3216,Better fluid,PERFECT
102,2,Fluid low,low
103,1439,Fluid low,low
104,1243,Fluid low,low
105,1838,Fluid low,low
106,1731,Fluid low,low
107,1887,Fluid low,low
108,1535,Fluid low,low
109,2224,Better fluid,PERFECT
110,1697,Fluid low,low
111,1861,Fluid low,low
112,1450,Fluid low,low
113,1685,Fluid low,low
114,1787,Fluid low,low
115,1799,Fluid low,low
116,1698,Fluid low,low
117,2811,Better fluid,PERFECT
118,1933,Fluid low,low
119,0,Fluid low,low
120,1825,Fluid low,low
121,1506,Fluid low,low
122,3890,Better fluid,PERFECT
123,2643,Better fluid,PERFECT
124,1330,Fluid low,low
125,1600,Fluid low,low
126,1744,Fluid low,low
127,1190,Fluid low,low
128,1713,Fluid low,low
129,1487,Fluid low,low
130,1533,Fluid low,low
131,0,Fluid low,low
132,2047,Fluid low,low
133,2454,Better fluid,PERFECT
134,866,Fluid low,low
135,3517,Better fluid,PERFECT
136,0,Fluid low,low
137,1268,Fluid low,low
138,815,Fluid low,low
139,1850,Fluid low,low
140,4095,Better fluid,PERFECT
141,1707,Fluid low,low
142,1917,Fluid low,low
143,0,Fluid low,low
144,2035,Fluid low,low
145,1505,Fluid low,low
146,1477,Fluid low,low
147,0,Fluid low,low
148,693,Fluid low,low
149,1861,Fluid low,low
